t_bin_index,Q2_bin_index,xB_bin_index,phi_bin_index,xB_lo,xB_hi,Q2_lo,Q2_hi,t_lo_input,t_hi_input,t_lo_aao,t_hi_aao,N,phi_lo,phi_hi,phi_c,xB_c,Q2_c,t_c,avg,d4sig_center,C_BC,n_phys,n_valid,n_xsec_failed,physical_fraction
0,0,0,0,0.05,0.1,1.0,1.5,0.4,0.6,-0.6,-0.4,5,0.0,18.0,9.000000000000002,0.08026315789473684,1.2236842105263157,-0.5000000000000001,4.849090904587455e-05,3.523281550209026e-05,1.3762995762571892,475,475,0,0.76
0,0,0,1,0.05,0.1,1.0,1.5,0.4,0.6,-0.6,-0.4,5,18.0,36.0,26.999999999999996,0.08026315789473684,1.2236842105263157,-0.5000000000000001,5.04687415325964e-05,3.592340246958744e-05,1.404898702881025,475,475,0,0.76
0,0,0,2,0.05,0.1,1.0,1.5,0.4,0.6,-0.6,-0.4,5,36.0,54.0,45.00000000000001,0.08026315789473684,1.2236842105263157,-0.5000000000000001,5.346321103837775e-05,3.693534693341502e-05,1.447480949204518,475,475,0,0.76
0,0,0,3,0.05,0.1,1.0,1.5,0.4,0.6,-0.6,-0.4,5,54.0,72.0,63.0,0.08026315789473684,1.2236842105263157,-0.5000000000000001,5.593920861603249e-05,3.7681561318357416e-05,1.4845247027696926,475,475,0,0.76
0,0,0,4,0.05,0.1,1.0,1.5,0.4,0.6,-0.6,-0.4,5,72.0,90.0,81.0,0.08026315789473684,1.2236842105263157,-0.5000000000000001,5.641237697659628e-05,3.7600955784941324e-05,1.5002910377929457,475,475,0,0.76
0,0,0,5,0.05,0.1,1.0,1.5,0.4,0.6,-0.6,-0.4,5,90.0,108.0,99.0,0.08026315789473684,1.2236842105263157,-0.5000000000000001,5.4068807866936865e-05,3.639979522091832e-05,1.4854151661783108,475,475,0,0.76
0,0,0,6,0.05,0.1,1.0,1.5,0.4,0.6,-0.6,-0.4,5,108.0,126.0,117.0,0.08026315789473684,1.2236842105263157,-0.5000000000000001,4.9137905612486966e-05,3.419565989569753e-05,1.4369632217177788,475,475,0,0.76
0,0,0,7,0.05,0.1,1.0,1.5,0.4,0.6,-0.6,-0.4,5,126.0,144.0,135.0,0.08026315789473684,1.2236842105263157,-0.5000000000000001,4.286993412625438e-05,3.150593600133178e-05,1.3606938744636008,475,475,0,0.76
0,0,0,8,0.05,0.1,1.0,1.5,0.4,0.6,-0.6,-0.4,5,144.0,162.0,153.0,0.08026315789473684,1.2236842105263157,-0.5000000000000001,3.712043508693009e-05,2.9081940411300005e-05,1.2764084707534393,475,475,0,0.76
0,0,0,9,0.05,0.1,1.0,1.5,0.4,0.6,-0.6,-0.4,5,162.0,180.0,171.0,0.08026315789473684,1.2236842105263157,-0.5000000000000001,3.369419921920179e-05,2.764899936154369e-05,1.2186408187366888,475,475,0,0.76
0,0,0,10,0.05,0.1,1.0,1.5,0.4,0.6,-0.6,-0.4,5,180.0,198.0,189.0,0.08026315789473684,1.2236842105263157,-0.5000000000000001,3.369419993239756e-05,2.764899936154369e-05,1.218640844531321,475,475,0,0.76
0,0,0,11,0.05,0.1,1.0,1.5,0.4,0.6,-0.6,-0.4,5,198.0,216.0,206.99999999999997,0.08026315789473684,1.2236842105263157,-0.5000000000000001,3.712043709361787e-05,2.9081942185851224e-05,1.2764084618694238,475,475,0,0.76
0,0,0,12,0.05,0.1,1.0,1.5,0.4,0.6,-0.6,-0.4,5,216.0,234.0,225.0,0.08026315789473684,1.2236842105263157,-0.5000000000000001,4.286993670220412e-05,3.150593254562677e-05,1.3606941054710902,475,475,0,0.76
