# xB 0.3
# Q2 2
# t -0.2
# BeamEnergy 10.6
# phi_deg sigma
0 0.174242
5 0.1749
10 0.176848
15 0.180016
20 0.184287
25 0.189503
30 0.19547
35 0.201964
40 0.208737
45 0.215526
50 0.222062
55 0.228078
60 0.233317
65 0.237541
70 0.240539
75 0.242133
80 0.242186
85 0.240605
90 0.237346
95 0.232414
100 0.225867
105 0.21781
110 0.208397
115 0.197825
120 0.186329
125 0.174175
130 0.161655
135 0.149074
140 0.136746
145 0.124982
150 0.114083
155 0.104331
160 0.095977
165 0.0892408
170 0.0842985
175 0.08128
180 0.0802649
185 0.08128
190 0.0842985
195 0.0892408
200 0.0959771
205 0.104331
210 0.114083
215 0.124982
220 0.136746
225 0.149074
230 0.161655
235 0.174175
240 0.186329
245 0.197825
250 0.208397
255 0.21781
260 0.225867
265 0.232414
270 0.237346
275 0.240605
280 0.242186
285 0.242133
290 0.240539
295 0.237541
300 0.233317
305 0.228078
310 0.222062
315 0.215526
320 0.208737
325 0.201964
330 0.19547
335 0.189503
340 0.184287
345 0.180016
350 0.176848
355 0.1749
360 0.174242
