N,phi_lo,phi_hi,phi_c,xB_c,Q2_c,t_c,avg,d4sig_center,C_BC,n_phys,n_valid,n_xsec_failed,physical_fraction
4,0.0,45.0,22.500000000000004,0.12499999999999999,1.75,-0.17500000000000002,9.209701338573327e-05,7.605203047741009e-05,1.2109737610896407,256,256,0,1.0
4,45.0,90.0,67.5,0.12499999999999999,1.75,-0.17500000000000002,0.00011660418019810958,9.44523587589747e-05,1.23452904437953,256,256,0,1.0
4,90.0,135.0,112.5,0.12499999999999999,1.75,-0.17500000000000002,0.00010735701780767762,8.788990819376189e-05,1.221494253595061,256,256,0,1.0
4,135.0,180.0,157.5,0.12499999999999999,1.75,-0.17500000000000002,6.977239927254194e-05,6.020886501548398e-05,1.1588393047203016,256,256,0,1.0
4,180.0,225.0,202.49999999999997,0.12499999999999999,1.75,-0.17500000000000002,6.977240283543716e-05,6.020887149589431e-05,1.1588392391675204,256,256,0,1.0
4,225.0,270.0,247.5,0.12499999999999999,1.75,-0.17500000000000002,0.00010735703263606312,8.788990118791291e-05,1.221494519677847,256,256,0,1.0
4,270.0,315.0,292.5,0.12499999999999999,1.75,-0.17500000000000002,0.00011660417823416888,9.44523587589747e-05,1.2345290235866062,256,256,0,1.0
4,315.0,360.0,337.5,0.12499999999999999,1.75,-0.17500000000000002,9.20970109020922e-05,7.605202399699976e-05,1.2109738316198582,256,256,0,1.0
6,0.0,45.0,22.500000000000004,0.125,1.75,-0.17500000000000002,9.276535159029175e-05,7.605203047741012e-05,1.2197616685309411,1296,1296,0,1.0
6,45.0,90.0,67.5,0.125,1.75,-0.17500000000000002,0.00011751772726371956,9.445235875897474e-05,1.244201085158746,1296,1296,0,1.0
6,90.0,135.0,112.5,0.125,1.75,-0.17500000000000002,0.00010815763942130842,8.788990819376193e-05,1.2306036226919739,1296,1296,0,1.0
6,135.0,180.0,157.5,0.125,1.75,-0.17500000000000002,7.016810220370653e-05,6.020886501548401e-05,1.1654114752978866,1296,1296,0,1.0
6,180.0,225.0,202.49999999999997,0.125,1.75,-0.17500000000000002,7.016810769198692e-05,6.0208871495894334e-05,1.1654114410161582,1296,1296,0,1.0
6,225.0,270.0,247.5,0.125,1.75,-0.17500000000000002,0.00010815764782366204,8.788990118791293e-05,1.230603816386318,1296,1296,0,1.0
6,270.0,315.0,292.5,0.125,1.75,-0.17500000000000002,0.00011751772544021112,9.445235875897474e-05,1.2442010658526275,1296,1296,0,1.0
6,315.0,360.0,337.5,0.125,1.75,-0.17500000000000002,9.27653500314798e-05,7.605202399699979e-05,1.2197617519704584,1296,1296,0,1.0
8,0.0,45.0,22.5,0.125,1.75,-0.175,9.300074034366751e-05,7.605203047741012e-05,1.2228567700278785,4096,4096,0,1.0
8,45.0,90.0,67.5,0.125,1.75,-0.175,0.00011783939037019181,9.445235875897474e-05,1.2476066444343283,4096,4096,0,1.0
8,90.0,135.0,112.5,0.125,1.75,-0.175,0.00010843949110231947,8.788990819376193e-05,1.2338104946389745,4096,4096,0,1.0
8,135.0,180.0,157.5,0.125,1.75,-0.175,7.030738273871307e-05,6.020886501548401e-05,1.1677247647938889,4096,4096,0,1.0
8,180.0,225.0,202.5,0.125,1.75,-0.175,7.030738941433066e-05,6.0208871495894334e-05,1.1677247499834795,4096,4096,0,1.0
8,225.0,270.0,247.5,0.125,1.75,-0.175,0.00010843949711102282,8.788990118791293e-05,1.2338106613542987,4096,4096,0,1.0
8,270.0,315.0,292.5,0.125,1.75,-0.175,0.00011783938625797544,9.445235875897474e-05,1.2476066008968623,4096,4096,0,1.0
8,315.0,360.0,337.5,0.125,1.75,-0.175,9.300073462996115e-05,7.605202399699979e-05,1.222856799098864,4096,4096,0,1.0
10,0.0,45.0,22.499999999999993,0.125,1.75,-0.175,9.310995513137696e-05,7.605203047741012e-05,1.2242928235694324,10000,10000,0,1.0
10,45.0,90.0,67.5,0.125,1.75,-0.175,0.00011798861372831327,9.445235875897474e-05,1.2491865240697564,10000,10000,0,1.0
10,90.0,135.0,112.50000000000001,0.125,1.75,-0.175,0.00010857023684837963,8.788990819376193e-05,1.2352981028154664,10000,10000,0,1.0
10,135.0,180.0,157.50000000000003,0.125,1.75,-0.175,7.037198574548767e-05,6.020886501548401e-05,1.168797746434682,10000,10000,0,1.0
