# xB 0.3001
# Q2 2.49
# t -0.14
# BeamEnergy 6.535
# phi_deg sigma
0 0.127833
5 0.127896
10 0.128081
15 0.12838
20 0.128778
25 0.129253
30 0.129781
35 0.130332
40 0.130876
45 0.131378
50 0.131805
55 0.132122
60 0.132299
65 0.132305
70 0.132117
75 0.131714
80 0.131082
85 0.130213
90 0.129105
95 0.127765
100 0.126204
105 0.124444
110 0.122509
115 0.120433
120 0.118253
125 0.116009
130 0.113748
135 0.111514
140 0.109357
145 0.107321
150 0.105453
155 0.103793
160 0.10238
165 0.101246
170 0.100417
175 0.0999112
180 0.0997413
185 0.0999112
190 0.100417
195 0.101246
200 0.10238
205 0.103793
210 0.105453
215 0.107321
220 0.109357
225 0.111514
230 0.113748
235 0.116009
240 0.118253
245 0.120433
250 0.122509
255 0.124444
260 0.126204
265 0.127765
270 0.129105
275 0.130213
280 0.131082
285 0.131715
290 0.132117
295 0.132305
300 0.132299
305 0.132122
310 0.131805
315 0.131378
320 0.130876
325 0.130332
330 0.129781
335 0.129253
340 0.128778
345 0.12838
350 0.128081
355 0.127896
360 0.127833
